tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
25449,New World Disorder 9: Never Enough,,ok,https://www.rottentomatoes.com/m/new_world_disorder,New World Disorder,,,,14,NEGATIVE,R
8,Life in Loops (A Megacities RMX),,ok,https://www.rottentomatoes.com/m/life_in_a_year,Life in a Year,,,,81,POSITIVE,PG-13
11,Star Wars,,ok,https://www.rottentomatoes.com/m/star_wars_the_mandalorian_and_grogu,Star Wars: The Mandalorian and Grogu,,60,POSITIVE,87,POSITIVE,PG-13
63,Twelve Monkeys,,ok,https://www.rottentomatoes.com/m/12_monkeys,12 Monkeys,,88,POSITIVE,88,POSITIVE,R
81,Warriors of the Wind,,ok,https://www.rottentomatoes.com/m/nausicaa_of_the_valley_of_the_wind,Nausicaä of the Valley of the Wind,,91,POSITIVE,91,POSITIVE,PG
101,Léon: The Professional,,ok,https://www.rottentomatoes.com/m/leon_the_professional,The Professional,,76,POSITIVE,95,POSITIVE,R
126,Short Working Day,,ok,https://www.rottentomatoes.com/m/short_working_day_1996,Short Working Day (Krotki dzien pracy) (1996),,,,67,POSITIVE,
135,Bob Dylan – Don't Look Back,,ok,https://www.rottentomatoes.com/m/dont_look_back_1967,Dont Look Back (1967),,92,POSITIVE,92,POSITIVE,
160,The Arrival of a Train at La Ciotat,,ok,https://www.rottentomatoes.com/m/at-the-mercy-of-a-stranger,At the Mercy of a Stranger,,,,40,NEGATIVE,TV-PG
171,The Party 2,,ok,https://www.rottentomatoes.com/m/la_boum_2_1982,La boum 2 (1982),,,,44,NEGATIVE,
189,Sin City: A Dame to Kill For,,ok,https://www.rottentomatoes.com/m/frank_millers_sin_city_a_dame_to_kill_for,Frank Miller's Sin City: A Dame to Kill For,,43,NEGATIVE,44,NEGATIVE,R
190,Das Dorf der Freundschaft,,ok,https://www.rottentomatoes.com/m/1022823-village_of_the_damned,Village of the Damned,,93,POSITIVE,78,POSITIVE,
222,Berlin: Symphony of a Great City,,ok,https://www.rottentomatoes.com/m/berlin-symphony-of-a-great-city,Berlin,,86,POSITIVE,81,POSITIVE,
270,Wir sagen Du! Schatz.,,ok,https://www.rottentomatoes.com/m/we_wont_say_goodbye,We Won't Say Goodbye,,,,,,
273,The White Sound,,ok,https://www.rottentomatoes.com/m/white_sound,Das Rauschen des Meeres,,,,86,POSITIVE,
286,Germany: A Summer's Fairytale,,ok,https://www.rottentomatoes.com/m/deutschland_ein_sommermarchen_2006,Deutschland: Ein Sommermaerchen (2006),,,,86,POSITIVE,
327,Brother,,ok,https://www.rottentomatoes.com/m/little_brother_2026,Little Brother (2026),,36,NEGATIVE,48,NEGATIVE,R
336,"Duck, You Sucker",,ok,https://www.rottentomatoes.com/m/duck_you_sucker,A Fistful of Dynamite,,92,POSITIVE,83,POSITIVE,PG
337,Monsieur Ibrahim,,ok,https://www.rottentomatoes.com/m/monsieur_ibrahim,Monsieur Ibrahim et les Fleurs du Coran,,86,POSITIVE,86,POSITIVE,R
344,"Bang, Boom, Bang",,ok,https://www.rottentomatoes.com/m/engine_sentai_go_onger_boom_boom_bang_bang_gekijobang,Engine Sentai Go-onger: Boom Boom! Bang Bang! GekijoBang!!,,,,,,
349,Cockles and Muscles,,ok,https://www.rottentomatoes.com/m/cote_dazur_2005,Mariscos Beach (2005),,54,NEGATIVE,60,POSITIVE,
395,AVP: Alien vs. Predator,,ok,https://www.rottentomatoes.com/m/alien_vs_predator,Alien vs. Predator,,21,NEGATIVE,39,NEGATIVE,PG-13
422,8½,,ok,https://www.rottentomatoes.com/m/super-8,Super 8½,,,,43,NEGATIVE,
442,Popular Music,,ok,https://www.rottentomatoes.com/m/taylor_macs_24_decade_history_of_popular_music,Taylor Mac's 24-Decade History of Popular Music,,100,POSITIVE,58,NEGATIVE,
454,Romeo + Juliet,,ok,https://www.rottentomatoes.com/m/771420477,Romeo Juliet,,,,,,
471,Brute,,ok,https://www.rottentomatoes.com/m/brute_1976,Brute 1976,,55,NEGATIVE,85,POSITIVE,
473,Pi,,ok,https://www.rottentomatoes.com/m/pillion,Pillion,,99,POSITIVE,89,POSITIVE,R
491,Ghetto-Kids,,ok,https://www.rottentomatoes.com/m/kids,Kids,,47,NEGATIVE,76,POSITIVE,
499,Cléo from 5 to 7,,ok,https://www.rottentomatoes.com/m/cleo_de_5_a_7,Cleo From 5 to 7,,93,POSITIVE,89,POSITIVE,
513,Fire,,ok,https://www.rottentomatoes.com/m/avatar_fire_and_ash,Avatar: Fire and Ash,,66,POSITIVE,90,POSITIVE,PG-13
530,A Grand Day Out,,ok,https://www.rottentomatoes.com/m/wallace_and_gromit_a_grand_day_out,Wallace & Gromit: A Grand Day Out,,100,POSITIVE,88,POSITIVE,
531,The Wrong Trousers,,ok,https://www.rottentomatoes.com/m/wallace_and_gromit_the_wrong_trousers,Wallace & Gromit in The Wrong Trousers,,100,POSITIVE,92,POSITIVE,
536,Stuttgart Shanghai,,ok,https://www.rottentomatoes.com/m/shanghai_noon,Shanghai Noon,,80,POSITIVE,65,POSITIVE,PG-13
538,Janine F.,,ok,https://www.rottentomatoes.com/m/the_doctors_daughter_1981,The Doctor's Daughter,,,,,,
542,The Crime of Padre Amaro,,ok,https://www.rottentomatoes.com/m/crime_of_padre_amaro,The Crime of Father Amaro,,63,POSITIVE,74,POSITIVE,R
572,Next Door,,ok,https://www.rottentomatoes.com/m/1130343-girl_next_door,The Girl Next Door,,56,NEGATIVE,69,POSITIVE,R
631,Sunrise: A Song of Two Humans,,ok,https://www.rottentomatoes.com/m/sunrise,Sunrise,,98,POSITIVE,92,POSITIVE,
658,Goldfinger,,ok,https://www.rottentomatoes.com/m/goldfinger,007: Goldfinger,,99,POSITIVE,89,POSITIVE,PG
667,You Only Live Twice,,ok,https://www.rottentomatoes.com/m/you_only_live_twice,007 - You Only Live Twice,,73,POSITIVE,69,POSITIVE,PG
697,October (Ten Days that Shook the World),,ok,https://www.rottentomatoes.com/m/october_1928,October (1928),,92,POSITIVE,77,POSITIVE,
761,The Wing or the Thigh?,,ok,https://www.rottentomatoes.com/m/laile_ou_la_cuisse,The Wing and the Thigh,,,,81,POSITIVE,
774,Workers Leaving the Lumière Factory,,ok,https://www.rottentomatoes.com/m/workers_leaving_the_factory,Workers Leaving the Factory,,,,,,
778,Monsieur Hulot's Holiday,,ok,https://www.rottentomatoes.com/m/mr_hulots_holiday,Mr. Hulot's Holiday,,100,POSITIVE,85,POSITIVE,
807,Se7en,,ok,https://www.rottentomatoes.com/m/se7en_days,Se7en days,,,,,,
832,M,,ok,https://www.rottentomatoes.com/m/project_hail_mary,Project Hail Mary,,95,POSITIVE,95,POSITIVE,PG-13
878,The Punch Bowl,,ok,https://www.rottentomatoes.com/m/the_pinch,The Pinch,,,,,,
882,Hen in a Boat,,ok,https://www.rottentomatoes.com/m/jingi-naki-tatakai-hiroshima-shito-henbattles-without-honor-and-humanity-deathmatch-in-hiroshima,Battles Without Honor and Humanity: Deadly Fight in Hiroshima,,,,88,POSITIVE,
894,Willenbrock,,ok,https://www.rottentomatoes.com/m/the_bug,The Bug: Life and Times of the People's Car,,,,,,
