tmdb_id,imdb_id,title,genre,director,producers,screenwriters,imdb_rating,imdb_vote_count,running_time_minutes
3924,tt0029927,Blondie,"Comedy, Family",Frank R. Strayer,,"Richard Flournoy, Chic Young",6.9,937,70
8773,tt0055747,Love at Twenty,"Drama, Romance","Shintarō Ishihara, Marcel Ophüls, Renzo Rossellini, François Truffaut, Andrzej Wajda",Pierre Roustang,"François Truffaut, Renzo Rossellini, Shintarō Ishihara, Marcel Ophüls, Jerzy Stefan Stawinski",7.1,2581,110
2,tt0094675,Ariel,"Comedy, Crime, Drama",Aki Kaurismäki,Aki Kaurismäki,Aki Kaurismäki,7.4,9953,72
3,tt0092149,Shadows in Paradise,"Comedy, Drama, Music",Aki Kaurismäki,Mika Kaurismäki,Aki Kaurismäki,7.4,8809,74
5,tt0113101,Four Rooms,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",Lawrence Bender,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",6.7,117269,98
6,tt0107286,Judgment Night,"Action, Crime, Drama",Stephen Hopkins,Gene Levy,"Lewis Colick, Jere Cunningham",6.6,21223,110
8,tt0825671,Life in Loops (A Megacities RMX),Documentary,Timo Novotny,"Ulrich Gehmacher, Timo Novotny","Michael Glawogger, Timo Novotny",8.1,285,79
9,tt0425473,Sunday in August,Short,Marc Meyer,Marc Meyer,Marc Meyer,6.8,14,15
11,tt0076759,Star Wars,"Action, Adventure, Fantasy",George Lucas,"Gary Kurtz, Rick McCallum",George Lucas,8.6,1580880,121
12,tt0266543,Finding Nemo,"Adventure, Animation, Comedy","Andrew Stanton, Lee Unkrich",Graham Walters,"Andrew Stanton, Bob Peterson, David Reynolds",8.2,1218525,100
13,tt0109830,Forrest Gump,"Drama, Romance",Robert Zemeckis,"Wendy Finerman, Steve Starkey, Steve Tisch","Winston Groom, Eric Roth",8.8,2518184,142
14,tt0169547,American Beauty,Drama,Sam Mendes,"Bruce Cohen, Dan Jinks",Alan Ball,8.3,1284170,122
