tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
3924,Blondie,1938,not_found,,,,,,,,
8773,Love at Twenty,1962,ok,https://www.rottentomatoes.com/m/love_at_twenty,Love at Twenty,,,,76,POSITIVE,
25449,New World Disorder 9: Never Enough,2008,not_found,,,,,,,,
2,Ariel,1988,ok,https://www.rottentomatoes.com/m/ariel,Ariel,,,,87,POSITIVE,
3,Shadows in Paradise,1986,ok,https://www.rottentomatoes.com/m/shadows_in_paradise,Shadows in Paradise,,,,87,POSITIVE,
5,Four Rooms,1995,ok,https://www.rottentomatoes.com/m/four_rooms,Four Rooms,,13,NEGATIVE,69,POSITIVE,R
6,Judgment Night,1993,ok,https://www.rottentomatoes.com/m/judgment_night,Judgment Night,,38,NEGATIVE,55,NEGATIVE,R
8,Life in Loops (A Megacities RMX),2006,not_found,,,,,,,,
9,Sunday in August,2004,ok,https://www.rottentomatoes.com/m/sunday-in-august,Sunday in August,,,,,,
11,Star Wars,1977,ok,https://www.rottentomatoes.com/m/star_wars_episode_iv_a_new_hope,Star Wars: Episode IV - A New Hope,,93,POSITIVE,96,POSITIVE,PG
12,Finding Nemo,2003,ok,https://www.rottentomatoes.com/m/finding_nemo,Finding Nemo,,99,POSITIVE,86,POSITIVE,G
13,Forrest Gump,1994,ok,https://www.rottentomatoes.com/m/forrest_gump,Forrest Gump,,75,POSITIVE,95,POSITIVE,PG-13
14,American Beauty,1999,ok,https://www.rottentomatoes.com/m/american_beauty,American Beauty,,87,POSITIVE,93,POSITIVE,R
15,Citizen Kane,1941,ok,https://www.rottentomatoes.com/m/citizen_kane,Citizen Kane,,99,POSITIVE,99,POSITIVE,PG
16,Dancer in the Dark,2000,ok,https://www.rottentomatoes.com/m/dancer_in_the_dark,Dancer in the Dark,,69,POSITIVE,91,POSITIVE,R
17,The Dark,2005,ok,https://www.rottentomatoes.com/m/alone_in_the_dark,Alone in the Dark,,1,NEGATIVE,11,NEGATIVE,R
18,The Fifth Element,1997,ok,https://www.rottentomatoes.com/m/fifth_element,The Fifth Element,,70,POSITIVE,87,POSITIVE,PG-13
19,Metropolis,1927,ok,https://www.rottentomatoes.com/m/metropolis,Metropolis,,97,POSITIVE,91,POSITIVE,
20,My Life Without Me,2003,ok,https://www.rottentomatoes.com/m/my_life_without_me,My Life Without Me,,65,POSITIVE,87,POSITIVE,R
21,The Endless Summer,1966,ok,https://www.rottentomatoes.com/m/endless_summer,The Endless Summer,,100,POSITIVE,91,POSITIVE,
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,ok,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl,Pirates of the Caribbean: The Curse of the Black Pearl,,79,POSITIVE,86,POSITIVE,PG-13
24,Kill Bill: Vol. 1,2003,ok,https://www.rottentomatoes.com/m/kill_bill_vol_1,Kill Bill: Vol. 1,,85,POSITIVE,81,POSITIVE,R
25,Jarhead,2005,ok,https://www.rottentomatoes.com/m/1152567-jarhead,Jarhead,,60,POSITIVE,68,POSITIVE,R
26,Walk on Water,2004,ok,https://www.rottentomatoes.com/m/walk_on_water,Walk on Water,,75,POSITIVE,87,POSITIVE,R
27,9 Songs,2004,ok,https://www.rottentomatoes.com/m/9_songs,9 Songs,,23,NEGATIVE,32,NEGATIVE,
28,Apocalypse Now,1979,ok,https://www.rottentomatoes.com/m/apocalypse_now,Apocalypse Now,,91,POSITIVE,94,POSITIVE,R
33,Unforgiven,1992,ok,https://www.rottentomatoes.com/m/1041911-unforgiven,Unforgiven,,96,POSITIVE,93,POSITIVE,R
35,The Simpsons Movie,2007,ok,https://www.rottentomatoes.com/m/the_simpsons_movie,The Simpsons Movie,,87,POSITIVE,77,POSITIVE,PG-13
38,Eternal Sunshine of the Spotless Mind,2004,ok,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind,Eternal Sunshine of the Spotless Mind,,93,POSITIVE,94,POSITIVE,R
55,Amores Perros,2000,ok,https://www.rottentomatoes.com/m/amores_perros,Amores perros,,93,POSITIVE,94,POSITIVE,R
58,Pirates of the Caribbean: Dead Man's Chest,2006,ok,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest,Pirates of the Caribbean: Dead Man's Chest,,53,NEGATIVE,72,POSITIVE,PG-13
59,A History of Violence,2005,ok,https://www.rottentomatoes.com/m/history_of_violence,A History of Violence,,88,POSITIVE,76,POSITIVE,R
62,2001: A Space Odyssey,1968,ok,https://www.rottentomatoes.com/m/2001_a_space_odyssey,2001: A Space Odyssey,,90,POSITIVE,88,POSITIVE,G
63,Twelve Monkeys,1995,ok,https://www.rottentomatoes.com/m/12_monkeys,12 Monkeys,,88,POSITIVE,88,POSITIVE,R
64,Talk to Her,2002,ok,https://www.rottentomatoes.com/m/talk_to_her,Talk to Her,,91,POSITIVE,92,POSITIVE,R
65,8 Mile,2002,ok,https://www.rottentomatoes.com/m/8_mile,8 Mile,,76,POSITIVE,54,NEGATIVE,R
66,Absolute Power,1997,ok,https://www.rottentomatoes.com/m/absolute_power,Absolute Power,,58,NEGATIVE,52,NEGATIVE,R
67,Paradise Now,2005,ok,https://www.rottentomatoes.com/m/paradise_now,Paradise Now,,89,POSITIVE,87,POSITIVE,PG-13
68,Brazil,1985,ok,https://www.rottentomatoes.com/m/1003033-brazil,Brazil,,98,POSITIVE,90,POSITIVE,R
69,Walk the Line,2005,ok,https://www.rottentomatoes.com/m/walk_the_line,Walk the Line,,83,POSITIVE,90,POSITIVE,PG-13
70,Million Dollar Baby,2004,ok,https://www.rottentomatoes.com/m/million_dollar_baby,Million Dollar Baby,,90,POSITIVE,90,POSITIVE,PG-13
71,Billy Elliot,2000,ok,https://www.rottentomatoes.com/m/billy_elliot,Billy Elliot,,85,POSITIVE,89,POSITIVE,R
73,American History X,1998,ok,https://www.rottentomatoes.com/m/american_history_x,American History X,,84,POSITIVE,96,POSITIVE,R
74,War of the Worlds,2005,ok,https://www.rottentomatoes.com/m/war_of_the_worlds,War of the Worlds,,76,POSITIVE,42,NEGATIVE,PG-13
75,Mars Attacks!,1996,ok,https://www.rottentomatoes.com/m/mars_attacks,Mars Attacks!,,56,NEGATIVE,53,NEGATIVE,PG-13
76,Before Sunrise,1995,ok,https://www.rottentomatoes.com/m/before_sunrise,Before Sunrise,,100,POSITIVE,93,POSITIVE,R
77,Memento,2000,ok,https://www.rottentomatoes.com/m/memento,Memento,,94,POSITIVE,94,POSITIVE,R
78,Blade Runner,1982,ok,https://www.rottentomatoes.com/m/blade_runner,Blade Runner,,89,POSITIVE,91,POSITIVE,R
79,Hero,2002,ok,https://www.rottentomatoes.com/m/hero,Hero,,94,POSITIVE,87,POSITIVE,PG-13
80,Before Sunset,2004,ok,https://www.rottentomatoes.com/m/before_sunset,Before Sunset,,94,POSITIVE,91,POSITIVE,R
81,Warriors of the Wind,1984,ok,https://www.rottentomatoes.com/m/nausicaa_of_the_valley_of_the_wind,Nausicaä of the Valley of the Wind,,91,POSITIVE,91,POSITIVE,PG
82,Miami Vice,2006,ok,https://www.rottentomatoes.com/m/miami_vice,Miami Vice,,47,NEGATIVE,43,NEGATIVE,R
83,Open Water,2004,ok,https://www.rottentomatoes.com/m/open_water,Open Water,,71,POSITIVE,33,NEGATIVE,R
85,Raiders of the Lost Ark,1981,ok,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark,Raiders of the Lost Ark,,94,POSITIVE,96,POSITIVE,PG
86,The Elementary Particles,2006,ok,https://www.rottentomatoes.com/m/the_elementary_particles,The Elementary Particles,,100,POSITIVE,65,POSITIVE,
87,Indiana Jones and the Temple of Doom,1984,ok,https://www.rottentomatoes.com/m/indiana_jones_and_the_temple_of_doom,Indiana Jones and the Temple of Doom,,77,POSITIVE,82,POSITIVE,PG
88,Dirty Dancing,1987,ok,https://www.rottentomatoes.com/m/dirty_dancing,Dirty Dancing,,73,POSITIVE,90,POSITIVE,PG-13
89,Indiana Jones and the Last Crusade,1989,ok,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade,Indiana Jones and the Last Crusade,,84,POSITIVE,94,POSITIVE,PG-13
90,Beverly Hills Cop,1984,ok,https://www.rottentomatoes.com/m/beverly_hills_cop,Beverly Hills Cop,,83,POSITIVE,82,POSITIVE,R
91,Land Without Bread,1933,ok,https://www.rottentomatoes.com/m/land_without_bread,Land Without Bread,,100,POSITIVE,84,POSITIVE,
92,Megacities,1998,ok,https://www.rottentomatoes.com/m/megacities,Megacities,,,,,,
93,Anatomy of a Murder,1959,ok,https://www.rottentomatoes.com/m/anatomy-of-a-murder,Anatomy of a Murder,,100,POSITIVE,90,POSITIVE,
94,Kunstgriff,2002,not_found,,,,,,,,
95,Armageddon,1998,ok,https://www.rottentomatoes.com/m/armageddon,Armageddon,,42,NEGATIVE,73,POSITIVE,PG-13
96,Beverly Hills Cop II,1987,ok,https://www.rottentomatoes.com/m/beverly_hills_cop_2,Beverly Hills Cop II,,48,NEGATIVE,58,NEGATIVE,R
97,Tron,1982,ok,https://www.rottentomatoes.com/m/tron,Tron,,60,POSITIVE,69,POSITIVE,PG
98,Gladiator,2000,ok,https://www.rottentomatoes.com/m/gladiator,Gladiator,,80,POSITIVE,87,POSITIVE,R
99,All About My Mother,1999,ok,https://www.rottentomatoes.com/m/all_about_my_mother,All About My Mother,,98,POSITIVE,93,POSITIVE,R
100,"Lock, Stock and Two Smoking Barrels",1998,ok,https://www.rottentomatoes.com/m/lock_stock_and_two_smoking_barrels,"Lock, Stock and Two Smoking Barrels",,75,POSITIVE,93,POSITIVE,R
101,Léon: The Professional,1994,ok,https://www.rottentomatoes.com/m/leon_the_professional,The Professional,,76,POSITIVE,95,POSITIVE,R
102,Open Hearts,2002,ok,https://www.rottentomatoes.com/m/open_hearts,Open Hearts,,93,POSITIVE,90,POSITIVE,R
103,Taxi Driver,1976,ok,https://www.rottentomatoes.com/m/taxi_driver,Taxi Driver,,89,POSITIVE,93,POSITIVE,R
104,Run Lola Run,1998,ok,https://www.rottentomatoes.com/m/run_lola_run,Run Lola Run,,93,POSITIVE,90,POSITIVE,R
105,Back to the Future,1985,ok,https://www.rottentomatoes.com/m/back_to_the_future,Back to the Future,,93,POSITIVE,95,POSITIVE,PG
106,Predator,1987,ok,https://www.rottentomatoes.com/m/predator,Predator,,65,POSITIVE,87,POSITIVE,R
107,Snatch,2000,ok,https://www.rottentomatoes.com/m/snatch,Snatch,,74,POSITIVE,93,POSITIVE,R
108,Three Colors: Blue,1993,ok,https://www.rottentomatoes.com/m/three_colors_blue,Three Colors: Blue,,96,POSITIVE,93,POSITIVE,R
109,Three Colors: White,1994,ok,https://www.rottentomatoes.com/m/three_colors_white,Three Colors: White,,91,POSITIVE,87,POSITIVE,R
110,Three Colors: Red,1994,ok,https://www.rottentomatoes.com/m/three_colors_red,Three Colors: Red,,100,POSITIVE,94,POSITIVE,R
111,Scarface,1983,ok,https://www.rottentomatoes.com/m/scarface,Scarface,,77,POSITIVE,93,POSITIVE,R
112,Italian for Beginners,2000,ok,https://www.rottentomatoes.com/m/italian_for_beginners,Italian for Beginners,,87,POSITIVE,79,POSITIVE,R
113,"Spring, Summer, Fall, Winter... and Spring",2003,ok,https://www.rottentomatoes.com/m/spring_summer_fall_winterand_spring,"Spring, Summer, Fall, Winter ... and Spring",,94,POSITIVE,92,POSITIVE,R
114,Pretty Woman,1990,ok,https://www.rottentomatoes.com/m/pretty_woman,Pretty Woman,,65,POSITIVE,68,POSITIVE,R
115,The Big Lebowski,1998,ok,https://www.rottentomatoes.com/m/the_big_lebowski,The Big Lebowski,,79,POSITIVE,93,POSITIVE,R
116,Match Point,2005,ok,https://www.rottentomatoes.com/m/match_point,Match Point,,77,POSITIVE,81,POSITIVE,R
117,The Untouchables,1987,ok,https://www.rottentomatoes.com/m/untouchables,The Untouchables,,83,POSITIVE,89,POSITIVE,R
118,Charlie and the Chocolate Factory,2005,ok,https://www.rottentomatoes.com/m/charlie_and_the_chocolate_factory,Charlie and the Chocolate Factory,,83,POSITIVE,51,NEGATIVE,PG
