tmdb_id,imdb_id,title,status,budget_amount,budget_currency,revenue_amount,revenue_currency,producers,mpaa_rating
3924,tt0029927,Blondie,ok,,,,,Robert Sparks,
8773,tt0055747,Love at Twenty,ok,,,,,,
2,tt0094675,Ariel,ok,,,,,Aki Kaurismäki,
3,tt0092149,Shadows in Paradise,ok,,,,,Mika Kaurismäki,
8,tt0825671,Life in Loops (A Megacities RMX),ok,,,,,,
9,tt0425473,Sunday in August,ok,,,,,,
17,tt0411267,The Dark,ok,,,,,Paul W. S. Anderson,
19,tt0017136,Metropolis,ok,5300000,Reichsmark,,,Erich Pommer,
21,tt0060371,The Endless Summer,ok,,,,,Bruce Brown,
27,tt0411705,9 Songs,ok,,,,,"Andrew Eaton, Michael Winterbottom",
64,tt0287467,Talk to Her,ok,6500000,United States dollar,,,Agustín Almodóvar,R
86,tt0430051,The Elementary Particles,ok,,,,,Bernd Eichinger,
91,tt0023037,Land Without Bread,ok,,,,,"Ramón Acín, Luis Buñuel",
92,tt0169024,Megacities,ok,,,,,,
93,tt0052561,Anatomy of a Murder,ok,2000000,United States dollar,8000000,United States dollar,Otto Preminger,
94,tt0436488,Kunstgriff,ok,,,,,,
99,tt0185125,All About My Mother,ok,,,,,Agustín Almodóvar,
102,tt0315543,Open Hearts,ok,,,,,Vibeke Windeløv,
108,tt0108394,Three Colors: Blue,ok,,,1324974,United States dollar,Marin Karmitz,R
109,tt0111507,Three Colors: White,ok,,,1251427,United States dollar,Marin Karmitz,R
110,tt0111495,Three Colors: Red,ok,,,3600996,United States dollar,Marin Karmitz,R
113,tt0374546,"Spring, Summer, Fall, Winter... and Spring",ok,,,2380788,United States dollar,"Lee Seung-jae, Karl Baumgartner",R
124,tt0086961,No End,ok,,,,,,
125,tt0080668,Railway Station,ok,,,,,,
126,tt0082631,Short Working Day,ok,,,,,,
127,tt0084549,Blind Chance,ok,,,,,,
132,tt0065780,Gimme Shelter,ok,,,,,Porter Bibb,
133,tt0054205,Primary,ok,,,,,Robert Drew,
135,tt0061589,Bob Dylan – Don't Look Back,ok,,,,,Albert Grossman,
136,tt0022913,Freaks,ok,,,,,"Irving Thalberg, Tod Browning, Dwain Esper, Harry Rapf",
138,tt0021814,Dracula,ok,,,,,"Carl Laemmle Jr., Tod Browning",
139,tt0164756,Mifune,ok,,,,,"Morten Kaufmann, Birgitte Hald",
143,tt0020629,All Quiet on the Western Front,ok,1200000,United States dollar,,,"Carl Laemmle Jr., Carl Laemmle",
147,tt0053198,The 400 Blows,ok,,,,,François Truffaut,
148,tt0430576,The Secret Life of Words,ok,,,,,Pedro Almodóvar,
156,tt0329767,Wilbur Wants to Kill Himself,ok,,,,,Sisse Graum Jørgensen,
158,tt0119472,Knockin' on Heaven's Door,ok,,,,,"André Hennicke, Bernd Eichinger, Til Schweiger",
159,tt0109255,Maybe... Maybe Not,ok,,,,,Bernd Eichinger,
160,tt0000012,The Arrival of a Train at La Ciotat,ok,,,,,"Auguste Lumière, Louis Lumière",
166,tt0082100,The Party,ok,,,,,Marcel Dassault,
171,tt0083686,The Party 2,ok,,,,,"Alain Poiré, Marcel Dassault",
191,tt0248103,The State I Am In,ok,,,,,"Michael Weber, Florian Koerner von Gustorf",
195,tt0023622,Trouble in Paradise,ok,519706,United States dollar,475000,United States dollar,"Samson Raphaelson, Grover Jones",
198,tt0035446,To Be or Not to Be,ok,1200000,United States dollar,,,Ernst Lubitsch,
204,tt0046268,The Wages of Fear,ok,,,,,"Raymond Borderie, Henri-Georges Clouzot",
206,tt0287624,Paradise Found,ok,,,4590,Australian dollar,,
211,tt0276820,Berlin is in Germany,ok,,,,,,
212,tt0036613,Arsenic and Old Lace,ok,1164000,United States dollar,2836000,United States dollar,Jack Warner,
213,tt0053125,North by Northwest,ok,4300000,United States dollar,5740000,United States dollar,Alfred Hitchcock,
216,tt0071141,Ali: Fear Eats the Soul,ok,,,,,Rainer Werner Fassbinder,
220,tt0048028,East of Eden,ok,,,,,Elia Kazan,PG
222,tt0017668,Berlin: Symphony of a Great City,ok,,,,,Karl Freund,
223,tt0032976,Rebecca,ok,,,,,David O. Selznick,
224,tt0075902,Man of Marble,ok,,,,,,
225,tt0082222,Man of Iron,ok,,,,,,
228,tt0020697,The Blue Angel,ok,,,,,Erich Pommer,
229,tt0026138,Bride of Frankenstein,ok,400000,United States dollar,2000000,United States dollar,Carl Laemmle Jr.,
233,tt0080117,The Wanderers,ok,5000000,United States dollar,,,Martin Ransohoff,R
234,tt0010323,The Cabinet of Dr. Caligari,ok,12371,United States dollar,,,"Rudolf Meinert, Erich Pommer",
239,tt0053291,Some Like It Hot,ok,2883848,United States dollar,25000000,United States dollar,Billy Wilder,
244,tt0024216,King Kong,ok,672254.75,United States dollar,,,"Ernest B. Schoedsack, Merian C. Cooper, David O. Selznick",
247,tt0049406,The Killing,ok,320000,United States dollar,,,James B. Harris,
248,tt0055312,Pocketful of Miracles,ok,,,,,Frank Capra,
250,tt0180748,In China They Eat Dogs,ok,,,,,Steen Herdel,
256,tt1180329,Antoine and Colette,ok,,,,,,
258,tt0065651,Bed and Board,ok,,,,,François Truffaut,
259,tt0078771,Love on the Run,ok,,,,,François Truffaut,
260,tt0026029,The 39 Steps,ok,,,,,Michael Balcon,
261,tt0051459,Cat on a Hot Tin Roof,ok,2300000,United States dollar,17570324,United States dollar,Lawrence Weingarten,
265,tt0082661,Lili Marleen,ok,,,,,Horst Wendlandt,
266,tt0057345,Contempt,ok,,,,,"Georges de Beauregard, Carlo Ponti, Joseph E. Levine",
269,tt0053472,Breathless,ok,400000,French franc,,,Georges de Beauregard,
270,tt0997275,Wir sagen Du! Schatz.,ok,,,,,,
271,tt0088015,Ronia: The Robber's Daughter,ok,,,48000000,Swedish krona,Waldemar Bergendahl,
273,tt0276617,The White Sound,ok,,,,,,
276,tt0408777,The Edukators,ok,,,,,"Antonin Svoboda, Hans Weingartner",
284,tt0053604,The Apartment,ok,3000000,United States dollar,18600000,United States dollar,Billy Wilder,
286,tt0853060,Germany: A Summer's Fairytale,ok,,,,,Tom Spieß,
299,tt0054135,Ocean's Eleven,ok,2800000,United States dollar,,,Lewis Milestone,
301,tt0053221,Rio Bravo,ok,1214899,United States dollar,,,Howard Hawks,
303,tt0038787,Notorious,ok,1000000,United States dollar,24493053,United States dollar,Alfred Hitchcock,
307,tt0038890,"Rome, Open City",ok,,,,,"Giuseppe Amato, Roberto Rossellini, Rod E. Geiger",
309,tt0154420,The Celebration,ok,1300000,United States dollar,,,Birgitte Hald,R
312,tt0116692,Beyond Silence,ok,,,,,"Thomas Wöbke, Luggi Waldleitner, Jakob Claussen",
313,tt0448124,Snow Cake,ok,,,,,,
315,tt0059170,"Faster, Pussycat! Kill! Kill!",ok,,,,,"Eve Meyer, Russ Meyer",
316,tt0304126,Grill Point,ok,,,,,,
